MB231 scr 	MB231 siHuR 	MB-231 scr-5Gy-2h	MB-231 siHuR 5Gy-2h	MCF-7 scr 	MCF-7 siHuR	MCF-7 scr -5Gy	MCF-7 siHuR -5Gy
31.62	33.5	30.13	30.31	34.93	un detected	33.8	32.3
28.71	29.59	28.88	27.74	26.75	28.01	27.04	26.2
33.91	34.54	33.93	33.83	34.04	36.72	33.91	33.84
23.24	22.81	21.4	21.26	22.18	24.57	22.18	21.41
25.89	26.59	23.8	24.13	24.43	30.49	23.91	22.46
23.11	23.16	22.51	21.71	22.27	24.88	22.33	21.56
21.79	23.02	21.17	20.65	20.58	24.52	21.24	20.03
20.12	20	19.45	19.47	20.26	23.76	19.52	19.3
21.92	22.02	20.97	20.77	20.7	22.82	21.25	20.99
30.26	30.94	25.49	26.54	29.68	32.79	26.6	24.46
24.29	24.47	23.01	22.44	21.89	23.83	22.47	23.08
21.98	23.16	22.01	21.33	22.5	25.61	22.68	22.51
21.69	21.99	21.23	21.24	23.17	25.7	23.54	23.18
27.6	28.76	25.4	26.35	24.7	32.06	23.93	22.86
26.5	26.72	26.08	25.25	24.69	28.8	24.47	23.39
29.12	28.68	27.73	27.09	31.55	un detected	31.09	29.88
19.7	20.82	19.32	18.93	20.45	24.79	20.84	20.37
Undetermined	Undetermined	36.02	35.85	34.33	36.88	33.18	33.6
19.96	20.17	20.23	19.69	33.03	35.01	33.51	35.96
24.11	24.62	23.31	23.07	22.37	28.2	22.51	21.26
22.37	23.45	22.22	21.59	23.17	26.39	23.11	22.74
37.86	38.35	Undetermined	39.74	36.8	un detected	39.63	38
22.86	23.12	21.87	22.38	22.37	27.13	22.25	22.17
16.66	17	16.92	16.04	13.79	15.76	14.29	14.4
21.11	21.7	20.33	20.04	22.87	28	22.44	21.91
26.09	26.75	25.48	25.62	19.44	21.17	19.84	19.45
21.82	21.65	21.44	21.33	21.83	23.91	21.41	20.94
34.26	35.37	35.33	35.78	34.32	39.57	38.3	36.41
26.9	27.1	26.16	26.01	25.84	30.23	25.88	25.95
26.56	25.4	24.01	23.94	26.74	29.9	26.37	25.49
25.38	26.06	23.34	23.27	25.4	30.62	24.4	23.35
23.12	23.45	21.63	21.41	23.62	29.2	24.06	22.28
19.6	20.3	19.4	19.59	24.42	29.17	25.32	24.71
26.54	27.34	25.79	25.96	24.43	29.44	25.23	24.72
25.32	25.54	24.38	24.28	25.75	29.16	24.96	24.8
22.87	23.08	22.49	22.18	23.12	26.23	23.79	23.42
21.92	22.51	21.44	20.6	20.9	23.62	22.06	20.87
24.34	25.11	21.59	22.24	24.71	28.29	25.26	23.47
19.43	20.41	18.34	18.49	23.17	30.12	23.69	23.36
31.71	31.71	29.35	29.64	22.71	28.33	21.22	19.54
21.44	22.1	20.5	19.89	21.92	29.29	21.34	20.95
23.52	24.46	22.41	22.23	24.87	31.13	23.54	22.71
24.73	25.14	24.4	24.1	24.09	27.11	24.05	23.39
24.9	25.03	24.34	24.06	25.05	28.46	25.38	24.93
19.81	19.78	19.23	18.77	19.84	20.78	20.45	19.7
32.32	32.16	30.83	30.58	32.71	35.4	32.3	31.73
22.03	22.02	20.86	20.46	22.29	25.74	22.32	21.22
19.32	19.42	18.7	18.11	19.25	21.59	20.22	19.86
22.32	22.72	22	22.02	21.46	24.09	22.31	22.17
22.53	22.33	21.33	21.15	21.57	23.01	22.56	21.76
34.45	35.67	36.12	33.79	31.59	39.5	31.15	30.16
25.53	25.08	24.43	24.15	24.31	28.23	23.42	23.46
33.5	34.21	33.1	33.33	33.28	36.62	31.84	31.11
21.66	22.43	21.83	21.51	21.77	25.95	23.16	22.72
20.59	21.27	19.81	19.57	22.34	27.26	22.15	21.77
21.48	21.85	20.93	20.47	21.11	23.15	22.21	21.36
23.01	23.56	22.56	22.49	22.71	26.15	22.53	22.53
21.27	21.04	20.17	20.24	20.63	23.41	21.3	20
34.35	34.53	32.07	31.3	30.42	35.67	30.69	29.42
22.84	23.14	22.18	21.06	22.17	27.04	22.5	21.77
22.76	23.04	22.16	22.08	21.04	23.18	21.28	21.06
21.04	22.06	20.66	20.58	21.4	26.21	22.16	21.65
34.48	35.53	32.94	33.49	34.1	36.36	33.74	33.55
19.51	19.91	18.71	18.6	26.8	30.17	26.54	26.1
23.85	24.4	22.69	22.53	23.06	26.5	23.54	23.12
21.93	22.52	20.89	20.56	23.09	29.5	22.22	21.5
21.53	22.26	20.53	20.54	22.91	28.42	22.68	22.34
22.19	23.1	21.23	21.11	21.44	26.07	21.26	20.49
23.93	24.46	23.77	23.61	24.04	25.54	24.33	24.07
33.77	34.13	32.01	31.33	29.06	32.53	28.35	28.17
20.24	20.3	18.62	19.04	19.82	23.19	19.9	19.55
22.21	22.8	19.75	20.49	22.11	29	21.49	19.79
23.99	24.4	22.43	22.19	33.53	36.66	34.09	34.15
25.16	25.08	24.75	24.39	24.37	25.7	25.3	24.51
19.42	20.89	18.61	18.55	21.99	28.32	22.4	22
25.99	26.31	25.21	25.34	26.69	29.57	26.13	25.48
